"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",71.9579977750369,26.8105158730159
"ENSMUSG00000000003",72.7576403695807,63
"ENSMUSG00000000028",79.1110437044693,15.6467345207803
"ENSMUSG00000000031",64.5818133886316,65.8127749091605
"ENSMUSG00000000037",71.684978505291,64
"ENSMUSG00000000049",66.7421521246952,60.959595959596
"ENSMUSG00000000056",72.0775273637869,73.8677248677249
"ENSMUSG00000000058",51.3141025641026,77.7777777777778
"ENSMUSG00000000078",29.3686300576064,90.5691964285714
"ENSMUSG00000000085",77.3175058859269,71.6145833333333
"ENSMUSG00000000088",31.6668181267418,88.4057971014493
"ENSMUSG00000000093",25.5179465370081,16.1005140692641
"ENSMUSG00000000094",55.6625831522097,73.3333333333333
"ENSMUSG00000000103",59.375,NA
"ENSMUSG00000000120",41.4258801925025,39.5833333333333
"ENSMUSG00000000125",48.9891935599006,1.2987012987013
"ENSMUSG00000000126",50.3594120763932,43.6880341880342
"ENSMUSG00000000127",78.7334452709764,72.5
"ENSMUSG00000000131",79.5986340868231,40.7828282828283
"ENSMUSG00000000134",63.2666364643109,75.7619047619048
"ENSMUSG00000000142",58.729525651208,51.500553709856
"ENSMUSG00000000148",75.5063288922512,33.8346883468835
"ENSMUSG00000000149",66.7452269398377,30.5641025641026
"ENSMUSG00000000154",68.048678276873,77.296626984127
"ENSMUSG00000000157",69.5584241629018,85.7875457875458
"ENSMUSG00000000159",71.0394966508504,80.0747508305648
"ENSMUSG00000000167",56.333296759564,77.1960486322188
"ENSMUSG00000000168",65.1219042650968,18.6764705882353
"ENSMUSG00000000171",58.11004784689,14.850052042675
"ENSMUSG00000000182",39.1346448489306,84.6489621489621
"ENSMUSG00000000183",64.3045167185568,82.7662337662338
"ENSMUSG00000000184",58.0381234346752,1.45833333333333
"ENSMUSG00000000194",78.1936291395308,92.3979591836735
"ENSMUSG00000000197",68.9995296647181,55.1269841269841
"ENSMUSG00000000202",21.2776556776557,67.1446208112875
"ENSMUSG00000000204",73.5845004668534,68.5185185185185
"ENSMUSG00000000214",67.5884950471417,70.7067271352986
"ENSMUSG00000000215",70.4050604050604,86.9047619047619
"ENSMUSG00000000216",63.6125852564701,64.120082815735
"ENSMUSG00000000223",76.7026815776816,80.5263157894737
"ENSMUSG00000000244",63.0736814927991,76.984126984127
"ENSMUSG00000000247",27.4394027381832,42.9399092970522
"ENSMUSG00000000248",79.4802619084486,64.2156862745098
"ENSMUSG00000000253",65.1428963193669,82.5
"ENSMUSG00000000263",66.2534013234948,11.3095238095238
"ENSMUSG00000000266",67.5629812238282,92.3333333333333
